gender,job,workclass_DE,education_DE,marital.status_DE,race_DE,hours.per.week_DE,income_DE,company_DE,lat,long,city_pop,product_id_TE,brand_TE,user_id_TE,user_session_TE,shopping_mall_TE,trans_year,trans_month,amt,is_fraud
1,114,2,0,4,4,65,1,232,34.1556,-118.2322,172817,284,29,202,385,3,0,11,38.75,0
1,4,2,15,5,4,32,1,118,28.1384,-80.6524,139650,1551,292,511,225,5,1,0,13.12,1
1,51,3,0,6,4,41,1,50,44.8755,-88.1555,5548,998,225,584,60,1,0,2,296.56,1
0,51,2,14,0,4,51,1,359,32.6176,-86.9475,1412,1460,292,269,631,4,0,7,5.66,0
1,36,2,9,0,4,41,1,173,41.4622,-79.1306,4172,1153,199,541,648,6,1,8,743.93,1
0,48,4,11,4,2,41,1,79,46.7531,-121.9898,759,664,270,242,237,9,1,7,368.65,1
1,5,0,10,0,4,51,1,359,40.954,-76.1747,143,1609,331,155,202,1,0,1,9.46,1
1,30,2,11,4,4,40,1,138,35.2229,-89.5518,9496,941,151,177,749,4,0,1,66.29,0
0,135,2,14,4,4,41,1,27,39.1329,-95.7023,163415,494,2,560,284,6,1,7,19.51,1
0,97,4,10,4,4,51,1,121,43.6849,-71.2551,1368,446,322,586,277,4,0,7,990.96,1
1,31,2,12,0,4,32,1,341,39.8839,-75.4669,348,7,18,393,667,7,0,10,809.39,1
0,128,2,9,0,4,41,1,126,41.0646,-87.5917,2135,162,292,275,326,9,0,1,21.93,0
0,143,2,12,0,4,32,1,359,38.4257,-81.9943,21902,1312,292,548,454,7,0,3,278.4,0
0,44,2,15,0,4,32,1,14,42.9385,-88.395,2328,361,59,157,458,6,0,2,20.3,1
1,99,2,12,0,4,32,1,68,42.1767,-79.9416,2518,457,233,48,347,6,0,4,298.99,1
0,117,2,11,2,4,11,0,243,33.9315,-87.6194,1186,473,46,237,525,4,0,9,989.81,1
0,74,2,9,3,4,59,1,317,45.4963,-89.7273,9594,463,303,418,88,9,1,6,75.13,0
1,93,2,11,2,4,43,0,120,40.6866,-92.6833,1132,1082,275,413,257,5,0,8,1153.13,1
0,44,4,11,2,1,32,0,299,45.7205,-98.5534,63,364,292,294,97,9,0,5,128.12,0
0,31,2,15,2,4,32,0,120,38.5319,-93.9221,467,1256,190,276,303,9,1,3,9.0,0
1,146,2,15,2,4,32,0,341,36.0435,-84.04,25459,201,357,56,700,2,0,11,14.62,0
0,93,4,14,4,4,37,1,68,44.9913,-92.9487,753116,1114,330,42,223,1,1,3,248.97,1
1,66,2,11,6,4,60,1,37,43.0351,-108.2024,19408,326,292,125,734,3,1,3,6.72,0
1,51,5,8,0,4,31,1,359,43.9886,-88.7712,149,1570,126,577,316,3,0,4,1172.01,1
0,81,2,15,4,4,32,1,90,42.9373,-87.9943,13973,1577,292,361,736,6,0,11,845.63,1
1,134,2,12,4,4,37,1,20,41.6964,-96.9858,1063,19,18,268,636,8,0,2,315.84,1
1,122,2,9,4,4,41,1,120,41.136,-73.7009,7987,998,225,584,60,3,0,10,290.46,1
0,43,2,15,5,4,37,1,233,48.8856,-103.0098,248,660,292,40,100,4,0,5,714.97,1
0,127,1,15,4,4,32,1,118,33.8155,-112.1202,1312922,1309,292,412,192,4,0,1,74.41,0
1,30,2,9,4,4,37,1,114,35.2229,-89.5518,9496,1185,55,211,174,4,0,10,29.46,0
0,160,2,8,5,4,34,1,241,42.1782,-83.2461,15623,1210,311,204,409,4,1,8,18.81,1
0,160,2,7,0,4,59,1,120,37.3304,-121.7913,973849,1144,112,384,234,5,0,4,277.53,1
1,159,3,1,4,4,32,1,359,37.3752,-81.6539,337,1177,173,112,337,4,1,0,84.85,0
1,42,2,15,2,4,5,1,237,40.1008,-80.0652,632,273,184,202,385,4,0,8,42.2,0
0,51,4,9,2,1,32,1,85,36.0244,-90.9288,7155,1465,147,564,270,5,1,4,1016.4,1
0,123,2,14,2,4,32,1,118,32.5486,-80.307,2408,1517,206,546,678,7,0,4,16.75,1
0,74,3,8,2,4,59,1,78,33.8396,-96.3648,608,126,292,1,240,5,1,8,904.86,1
0,146,2,12,2,4,51,1,183,36.0557,-96.0602,413574,801,280,402,324,0,1,7,19.94,1
0,83,3,14,2,4,27,1,50,42.825,-124.4409,217,976,283,400,87,3,1,3,304.91,1
1,152,3,9,2,4,51,1,267,40.4855,-90.2856,631,691,88,148,578,6,0,8,903.55,1
0,81,3,14,2,4,51,1,68,48.4786,-122.3345,14871,136,357,147,248,5,1,3,27.13,0
0,93,2,9,2,4,46,1,120,47.0999,-96.727,346,634,351,208,168,2,0,8,9.97,0
0,121,4,11,2,4,41,1,107,36.2416,-86.6117,22191,1600,86,85,511,4,0,11,744.32,1
0,69,1,14,2,4,37,1,340,36.2201,-91.6421,2856,795,230,5,756,5,0,2,40.07,0
1,83,3,9,2,4,41,1,30,41.5205,-80.0573,5507,1157,46,541,648,1,0,2,50.33,0
1,0,2,12,2,4,55,1,232,42.18899999999999,-74.9229,782,996,194,584,60,1,0,10,13.13,0
1,51,2,9,2,4,51,1,120,32.876999999999995,-96.708,1263321,592,29,4,660,0,1,4,247.55,1
0,51,2,8,2,4,10,1,78,41.0109,-81.2977,51,818,24,207,304,4,0,5,259.12,0
0,96,2,12,2,4,55,1,232,40.8626,-91.9534,888,319,59,421,716,6,0,0,125.03,0
1,5,2,12,2,4,37,1,50,29.9196,-95.4386,2906700,1036,338,532,452,5,0,10,1009.59,1
0,51,2,9,2,4,40,1,296,34.4596,-93.6743,1383,56,18,551,652,3,1,7,49.34,0
0,45,3,15,2,4,46,1,118,45.4682,-93.2266,12568,943,318,177,749,1,1,3,12.44,1
1,48,3,14,2,4,63,1,333,46.3481,-87.0436,137,749,207,78,662,6,1,4,10.08,1
1,51,2,12,2,4,59,1,50,29.9912,-90.2479,68211,496,357,349,526,4,0,6,1.72,0
1,43,4,15,2,4,32,1,183,44.2529,-85.01700000000001,1126,1049,67,503,352,3,0,1,853.27,1
1,108,3,9,2,4,41,1,233,39.6991,-78.1762,3766,154,238,89,58,5,0,11,12.26,0
1,27,4,9,2,4,41,1,238,32.1482,-99.1872,1897,1065,292,249,751,4,0,10,905.52,1
0,72,4,14,2,4,41,1,50,26.7197,-80.1248,459921,561,13,588,728,9,0,0,292.07,1
1,81,0,14,2,1,46,1,121,37.2692,-82.9161,798,283,29,257,607,5,0,2,58.67,0
0,51,3,9,2,4,41,1,140,39.0026,-76.1424,3862,101,292,477,89,5,0,4,1.05,0
1,51,3,12,2,4,46,1,207,32.8357,-79.8217,20478,1525,292,124,256,7,0,10,51.9,0
0,43,2,14,2,1,57,1,205,37.6223,-97.3136,409656,1490,109,564,270,4,0,9,7.74,1
1,27,4,9,2,4,32,1,183,44.4477,-93.4252,5211,389,292,228,52,4,0,10,61.58,0
1,27,2,15,2,4,68,1,85,45.1939,-112.0568,286,1575,292,361,736,4,0,5,264.77,1
0,48,3,9,2,4,51,1,233,46.7531,-121.9898,759,493,2,560,284,6,1,7,580.75,1
1,52,4,11,2,4,32,1,118,31.0,-82.8555,419,1448,248,324,214,5,0,2,1074.66,1
1,36,2,9,2,1,27,1,359,40.7641,-84.0973,86954,51,357,195,229,0,0,8,38.68,0
0,27,4,14,2,4,63,1,78,41.5646,-91.0859,533,18,18,356,690,7,1,3,856.76,1
1,4,3,8,2,4,32,1,120,40.0235,-120.7986,128,1119,330,42,223,2,0,5,50.72,0
0,134,2,14,2,4,68,1,88,34.5091,-92.4828,4074,391,292,478,114,4,0,0,65.52,0
0,117,2,10,2,4,37,1,232,33.9315,-87.6194,1186,662,270,242,237,5,0,9,21.03,1
0,51,3,14,2,4,51,1,68,44.7957,-110.6137,369,598,244,343,260,8,0,10,780.05,1
0,134,2,10,2,4,46,1,232,34.7032,-98.9591,540,181,18,268,636,4,0,2,66.34,0
0,81,4,9,2,4,32,1,39,33.1194,-83.8235,3343,1177,173,112,337,4,0,7,602.8,0
1,95,4,14,2,4,23,1,241,40.6747,-74.2239,124967,274,145,86,677,8,1,4,55.58,0
1,73,3,14,2,4,46,1,359,41.603,-93.633,222785,359,59,157,458,6,0,0,948.76,1
0,37,2,9,2,4,37,1,78,38.8938,-86.5246,1228,57,18,551,652,6,1,7,5.27,0
1,48,2,14,2,4,65,1,206,32.8088,-83.17399999999999,1841,282,145,202,385,5,0,8,85.5,0
1,98,2,15,2,4,41,1,341,32.7004,-97.6039,13602,831,292,480,647,0,1,7,852.52,1
1,43,2,9,2,4,15,1,72,44.5232,-86.2061,680,1552,292,511,225,5,0,8,7.65,0
0,24,2,9,2,4,51,1,337,38.9318,-89.9618,2401,56,18,184,305,3,1,6,20.51,1
1,76,3,14,2,4,37,1,162,36.6403,-81.7776,3085,124,146,544,203,9,1,8,449.39,1
1,145,2,9,6,4,32,1,50,32.8224,-85.7704,8269,797,17,5,756,1,1,8,1074.14,1
0,5,3,9,2,4,61,1,157,39.596,-86.1309,78968,1036,338,532,452,4,1,3,771.86,1
1,114,4,10,2,4,20,1,313,24.6557,-81.3824,32891,1078,320,413,257,4,0,2,62.68,0
0,93,2,10,2,4,5,1,78,46.368,-87.9938,1038,385,155,306,518,3,0,8,966.42,1
1,81,3,12,2,4,41,1,126,37.2692,-82.9161,798,530,143,460,205,8,1,7,1026.92,1
1,86,3,9,2,4,32,1,205,33.4629,-86.7904,493806,1050,292,503,352,6,1,8,34.71,0
0,109,3,9,2,4,51,1,50,33.357,-89.0473,1923,1576,292,361,736,2,1,3,948.65,1
1,51,3,9,2,4,46,1,339,43.5089,-93.4824,744,551,292,600,466,4,0,9,23.78,1
0,127,2,12,2,4,32,1,79,39.1505,-79.503,836,693,88,148,578,3,1,7,78.56,0
1,43,2,8,2,4,37,0,359,31.1569,-94.3871,2836,278,184,464,106,6,0,6,33.75,0
1,93,5,10,2,4,51,1,50,45.0838,-120.6649,60,22,357,195,229,7,0,11,352.37,1
1,18,3,11,2,4,32,1,30,39.8788,-82.18799999999999,1831,859,292,173,498,4,0,8,6.47,0
1,128,2,11,2,4,51,0,251,43.9446,-88.0911,5196,463,303,418,88,2,0,1,89.65,0
0,127,4,9,2,4,10,1,106,39.1505,-79.503,836,1608,136,155,202,4,0,11,91.42,0
1,114,2,15,2,2,15,0,127,44.3229,-69.9576,6025,607,292,149,732,1,0,10,135.61,0
0,12,1,15,2,4,32,0,48,38.1372,-81.5962,630,1152,308,384,234,6,0,8,81.3,0
0,144,2,11,2,4,32,0,159,33.431,-93.8765,36438,120,292,585,243,5,1,4,656.05,1
0,79,2,11,2,4,21,1,120,41.4682,-72.5751,5438,119,292,427,361,4,0,5,12.81,1
1,93,4,10,2,4,20,1,183,41.0977,-74.0109,23045,564,31,417,467,5,0,9,256.7,1
0,139,2,11,2,4,37,1,118,34.381,-81.109,14267,925,292,597,762,4,1,7,882.02,1
0,83,2,15,2,4,46,1,42,31.4467,-103.5791,12747,226,357,195,229,6,0,5,9.88,1
1,128,5,12,2,4,34,1,78,43.9446,-88.0911,5196,909,187,158,128,7,0,10,41.23,0
1,39,2,9,2,4,32,1,205,34.4959,-86.259,5901,266,18,257,607,4,0,2,56.97,0
1,51,2,11,2,2,32,0,322,34.6205,-86.551,190178,1119,330,42,223,7,0,5,77.07,0
1,4,3,7,2,4,41,0,120,64.7556,-165.6723,145,1177,173,112,337,6,0,4,18.19,1
0,5,2,9,2,4,27,1,339,32.0758,-96.701,1563,1516,292,36,743,9,1,8,18.88,1
0,43,2,15,2,4,40,0,78,48.8856,-103.0098,248,269,145,202,385,6,0,5,15.63,1
0,74,2,11,2,4,32,0,116,33.8396,-96.3648,608,1142,175,541,648,5,1,8,22.67,1
0,51,3,9,2,4,41,1,50,39.1412,-94.3515,123373,1292,190,160,177,7,0,7,10.15,0
1,93,4,11,2,4,41,0,359,37.9986,-77.8781,9141,966,86,320,117,5,0,11,1113.9,1
0,88,3,11,2,4,55,0,68,42.9147,-83.4845,6951,296,1,288,685,5,1,4,39.0,0
0,40,2,4,0,4,37,0,183,31.8599,-102.7413,23,749,207,266,29,6,0,2,8.86,0
0,145,1,9,4,4,46,0,241,36.6659,-105.4694,606,1601,181,85,511,4,0,2,64.57,0
1,81,1,11,6,4,32,0,339,35.8896,-96.0887,7163,18,18,356,690,5,0,2,757.87,1
1,136,2,4,4,2,32,0,120,40.6025,-80.3863,198,1458,193,113,7,4,0,6,676.37,1
0,81,5,9,0,4,32,0,339,39.9458,-75.9703,3066,65,146,594,425,4,1,0,860.93,1
0,129,3,15,0,4,41,0,120,32.2779,-97.2351,5875,1146,112,474,773,7,0,11,45.91,0
1,43,2,9,3,1,32,0,183,36.8347,-84.4436,1565,101,292,258,254,4,1,0,52.04,0
1,27,2,9,4,4,27,0,50,44.4477,-93.4252,5211,757,360,254,75,6,0,6,74.75,0
1,46,2,15,4,2,37,0,359,34.6902,-79.1834,14783,1313,292,548,454,5,1,8,75.04,0
0,51,1,11,5,2,32,0,241,36.7154,-89.6287,1019,1062,106,126,148,8,0,11,126.51,1
0,79,5,15,5,4,32,0,190,41.0539,-106.0763,100,503,162,406,16,0,0,5,915.93,1
1,144,2,8,6,4,28,0,282,43.9742,-71.1503,3807,496,357,349,526,4,0,2,903.09,1
0,75,4,12,0,4,51,0,359,38.4857,-89.6816,254,320,101,421,716,4,0,3,994.77,1
0,48,2,11,0,4,32,0,162,46.7531,-121.9898,759,1047,125,503,352,3,1,7,824.08,1
1,134,2,11,4,2,32,0,321,41.0552,-110.1603,49,91,146,575,522,7,0,7,956.38,1
1,132,2,14,4,4,32,0,256,42.728,-71.181,47249,473,46,237,525,7,1,8,15.85,0
1,146,4,14,0,4,27,0,50,36.4992,-120.0936,123,126,292,165,119,5,0,0,73.63,0
0,88,2,9,6,4,32,1,127,36.3924,-91.9932,1679,181,18,358,384,3,1,3,27.5,0
0,43,1,11,2,4,32,0,162,48.6031,-93.2977,136,472,39,242,237,0,0,7,302.28,1
0,72,2,4,2,4,32,0,50,44.3346,-73.098,4542,1549,55,511,225,8,1,3,1026.35,1
0,159,1,12,2,4,32,0,359,37.7827,-80.3129,5216,259,1,257,607,4,0,5,149.18,0
1,61,0,11,4,4,32,0,161,36.115,-84.0438,4729,549,256,588,728,1,0,8,1.56,0
1,146,4,15,4,4,9,0,127,40.1959,-92.4333,805,1629,94,550,404,5,0,2,19.66,1
0,51,2,11,0,4,64,0,359,36.0244,-90.9288,7155,32,357,267,544,4,1,8,23.19,0
1,149,4,15,4,1,32,0,120,42.9993,-88.2196,95015,1525,292,124,256,4,1,7,152.88,0
1,149,2,9,4,1,40,0,183,32.3697,-81.3618,9034,809,299,261,661,6,0,1,27.97,0
0,44,2,15,5,4,46,1,207,33.6372,-96.6184,46563,201,357,56,700,9,1,8,46.11,0
1,4,5,7,0,4,30,1,277,28.1384,-80.6524,139650,528,114,208,168,4,1,0,328.53,1
1,88,2,9,4,4,37,1,68,38.9583,-76.2842,5848,993,292,584,60,7,0,11,1191.33,1
0,51,0,9,4,4,32,0,20,31.4647,-100.39,103927,1448,248,324,214,6,0,0,24.2,0
1,50,2,11,4,4,34,1,142,48.6669,-96.5969,140,249,18,257,607,4,0,7,977.24,1
1,31,2,9,0,4,32,1,78,35.7206,-108.0271,5662,414,20,478,114,6,0,2,20.0,1
1,55,2,9,4,4,37,1,319,43.0048,-108.8964,1645,105,357,374,19,5,1,6,66.66,0
1,35,4,11,4,4,41,0,209,41.2403,-82.6078,23805,1176,173,112,337,8,0,8,8.6,0
0,153,2,9,4,4,32,1,120,26.4215,-99.0025,18128,561,13,588,728,8,0,6,163.78,0
1,39,2,12,4,4,41,0,90,34.4959,-86.259,5901,1013,55,385,317,0,0,2,73.06,0
1,43,2,2,0,4,34,0,359,38.8852,-77.3233,17558,1223,292,145,62,5,0,10,436.64,1
1,72,1,12,4,4,51,0,50,35.9866,-106.0654,18408,705,76,342,139,7,1,8,1141.04,1
0,83,2,15,6,4,30,1,162,31.4467,-103.5791,12747,993,292,584,60,0,0,5,739.29,1
1,51,2,11,4,4,59,0,50,34.3091,-78.3372,2290,573,256,396,640,7,0,6,49.15,1
0,134,0,9,0,4,32,1,50,43.0032,-93.2167,1574,831,292,480,647,5,0,11,4.54,0
0,51,5,10,4,4,41,1,232,28.9814,-98.0156,2435,1037,213,221,2,8,0,11,9.16,0
1,25,3,15,4,4,51,0,78,44.6255,-116.4493,129,1579,243,239,583,8,0,0,1093.55,1
0,134,2,15,6,4,52,1,68,34.7032,-98.9591,540,746,292,183,14,5,1,7,67.08,0
0,70,2,11,0,4,36,1,204,46.1664,-103.7079,475,96,357,573,355,7,1,0,1.13,0
1,93,2,11,0,4,32,1,50,34.7437,-102.5064,53,684,88,148,578,2,0,3,73.36,0
0,159,2,9,2,4,37,1,281,47.6633,-122.3022,837792,98,146,575,522,8,0,9,269.64,1
0,51,1,11,2,4,32,1,50,33.2887,-111.0985,2872,688,292,269,631,4,1,0,10.76,1
1,23,4,15,2,4,32,1,162,39.3391,-95.0999,1442,1569,305,21,748,4,0,0,70.8,0
0,93,4,12,2,4,7,1,359,32.2768,-95.3031,144160,1506,62,252,182,5,0,5,18.26,0
1,36,2,9,2,4,32,1,116,37.3668,-96.4396,372,264,145,202,385,2,1,0,302.63,1
0,29,4,14,2,4,22,1,162,42.0158,-73.2913,647,733,292,555,340,6,0,3,83.83,0
1,93,2,11,5,4,32,0,232,38.5769,-122.4477,3661,1097,63,567,755,3,1,8,1167.35,1
0,93,2,0,6,4,27,0,118,34.047,-90.7652,466,1275,302,160,177,5,0,7,276.96,0
1,149,4,9,4,4,32,1,232,40.8798,-73.9067,1382480,831,292,480,647,9,0,5,124.15,1
0,145,1,6,6,4,32,1,30,30.33,-95.0202,34153,1641,165,361,736,6,0,11,1.58,0
0,23,1,15,4,4,32,1,341,41.1558,-101.136,1789,1544,113,85,511,0,0,7,385.11,0
0,51,2,11,4,2,32,0,42,37.7184,-77.186,976,1108,22,434,682,4,0,0,35.62,0
0,87,2,11,6,4,23,0,241,45.8327,-91.0144,1478,1039,292,49,634,5,0,0,50.3,1
1,51,2,11,0,4,50,0,120,40.8555,-79.7372,2054,561,13,588,728,3,1,8,977.39,1
0,134,2,11,6,4,9,0,106,40.5891,-75.4645,166081,103,357,473,146,7,0,3,1.97,0
0,79,2,9,0,4,4,0,233,41.4682,-72.5751,5438,245,145,86,677,4,0,5,1020.24,1
1,51,1,9,6,2,20,0,183,30.0252,-90.2522,68211,919,292,158,128,4,1,4,928.47,1
1,31,2,15,4,4,19,0,78,42.8223,-83.2829,24840,1116,330,42,223,4,0,4,294.63,1
1,93,4,15,0,4,27,0,116,38.6476,-78.7717,4367,531,18,95,492,7,1,3,71.47,0
1,106,2,15,4,4,32,0,294,42.8511,-93.62,3032,575,7,417,467,4,0,8,132.79,1
1,88,2,7,4,4,13,0,359,34.7031,-86.3068,653,498,145,591,307,8,1,7,202.48,0
1,114,2,11,0,4,32,0,68,34.1556,-118.2322,172817,246,18,257,607,5,0,10,96.11,0
1,72,2,15,4,2,32,0,50,43.2326,-86.2492,128715,576,97,396,640,4,0,4,156.69,0
1,146,2,15,4,4,32,0,120,40.1959,-92.4333,805,1246,190,502,189,4,0,2,876.9,1
0,143,2,5,4,2,32,0,183,38.4257,-81.9943,21902,1548,55,511,225,7,1,7,9.93,0
1,80,2,11,0,4,32,0,50,43.5835,-70.3457,18760,1496,149,7,232,7,1,6,318.94,1
0,78,3,12,0,1,51,1,365,30.1886,-103.2214,498,731,76,402,324,4,1,4,38.92,0
0,127,2,1,2,4,32,0,341,39.1505,-79.503,836,962,313,337,663,9,1,6,1067.95,1
0,18,2,5,2,3,32,0,162,31.6591,-96.8094,263,61,18,268,636,7,0,10,1097.8,1
1,93,3,8,2,3,64,0,127,41.6412,-75.7641,3733,471,129,237,525,2,1,8,1021.72,1
0,51,4,5,2,4,32,0,241,36.9688,-78.5615,1970,3,18,393,667,5,1,3,97.05,0
0,79,4,3,2,4,13,0,183,41.4682,-72.5751,5438,125,146,575,522,4,0,5,997.93,1
1,51,5,15,2,4,32,0,183,32.8357,-79.8217,20478,101,292,196,236,7,0,8,11.16,1
1,93,4,11,2,4,10,0,116,35.5762,-91.4539,111,726,230,78,662,7,1,7,3.23,0
1,51,2,11,2,4,37,0,52,39.6171,-102.4776,207,1078,320,413,257,4,1,0,326.24,1
1,13,2,11,2,4,32,0,232,39.39,-88.9597,1532,491,18,259,359,5,0,9,75.48,0
0,48,2,0,2,4,43,0,116,46.1838,-101.2589,77,462,303,418,88,3,0,1,29.97,0
0,51,2,15,2,4,32,0,233,40.1151,-79.8627,427,1589,6,178,524,7,0,10,19.52,0
1,13,4,4,2,4,41,0,50,39.2667,-77.5101,100,228,357,47,293,5,0,6,64.9,0
1,146,2,9,2,4,37,0,118,39.4336,-91.0664,4593,397,46,45,17,7,1,6,2.23,0
1,51,4,11,2,4,32,0,233,34.3091,-78.3372,2290,1548,55,511,225,3,0,6,779.36,1
0,109,2,15,2,2,32,0,265,34.3795,-118.523,34882,1364,292,170,329,9,0,6,5.6,0
0,72,2,9,2,4,32,1,120,38.2911,-92.7059,1847,1181,292,335,469,0,0,7,1.09,0
0,9,4,15,2,4,9,1,359,40.4679,-77.8967,1334,130,292,182,314,4,1,0,8.77,1
1,153,2,11,2,4,32,1,78,40.7491,-95.038,7297,959,154,598,266,0,0,3,8.66,1
0,93,4,14,2,4,41,1,107,37.2409,-82.7696,230,1562,292,116,96,4,0,10,10.31,1
1,0,5,11,2,4,32,1,278,37.5802,-80.5248,2443,964,148,320,117,4,0,2,899.93,1
0,109,0,15,2,2,32,1,359,34.3795,-118.523,34882,1544,113,85,511,7,1,8,81.42,0
1,85,2,15,2,4,41,1,232,38.8954,-77.1633,207410,715,76,266,29,6,1,8,9.86,0
1,156,2,9,2,1,20,0,359,42.3669,-82.9938,673342,1012,176,249,751,7,0,10,16.15,0
0,80,4,8,2,4,32,0,241,44.4971,-67.9503,1131,453,25,373,357,4,1,8,6.02,0
1,127,4,11,2,4,15,0,233,36.7779,-81.7676,5657,296,1,288,685,4,1,6,816.12,1
0,58,2,4,2,1,60,0,261,38.0261,-97.6666,1689,889,292,435,765,6,0,0,35.33,0
0,106,4,1,2,4,46,0,52,44.6723,-103.8396,8007,181,18,268,636,7,0,5,10.87,1
0,29,4,11,2,4,32,0,63,42.9582,-77.0473,4431,160,357,326,348,1,0,3,10.91,1
0,123,0,7,0,1,32,0,118,40.3207,-110.436,302,558,292,497,102,4,1,7,60.68,0
0,145,2,12,2,1,51,0,118,36.1499,-95.7923,413574,1569,305,21,748,4,1,7,325.6,1
0,87,2,11,2,4,32,0,50,43.2893,-97.1904,811,294,1,202,385,0,1,4,236.24,1
0,128,4,15,2,4,51,0,162,42.0716,-75.0152,1228,995,92,595,611,4,0,4,929.28,1
1,76,2,1,2,4,32,0,322,36.6403,-81.7776,3085,976,283,369,434,5,1,8,338.04,1
0,57,2,11,2,4,15,0,50,45.6675,-93.2433,2607,632,298,601,85,5,0,6,14.71,0
0,21,2,15,2,4,32,0,118,36.2395,-95.9596,413574,1642,165,361,736,8,0,0,38.75,0
1,145,2,11,2,4,51,0,107,40.8027,-81.3739,192805,847,316,152,74,1,0,11,277.9,1
1,132,2,15,2,4,37,0,78,42.728,-71.181,47249,1458,193,113,7,7,0,2,385.35,0
1,51,2,15,2,4,32,0,253,34.5444,-102.1069,686,394,155,306,518,8,0,3,860.18,1
0,43,2,11,2,4,41,0,247,32.8463,-96.6972,1263321,1629,94,550,404,4,1,3,81.78,0
1,51,1,11,2,4,32,0,233,33.9659,-80.9355,333497,1453,292,269,631,6,0,2,280.91,1
0,145,4,11,2,4,15,0,241,36.1499,-95.7923,413574,968,283,169,289,5,1,7,6.62,1
1,72,2,15,2,4,32,0,183,33.141,-82.515,741,1599,292,574,706,8,0,3,102.03,0
1,81,0,11,2,4,32,0,121,45.5783,-94.4199,1536,1107,22,434,682,4,0,6,865.48,1
0,29,2,15,2,4,32,0,20,42.0158,-73.2913,647,1445,49,577,316,1,0,11,5.4,0
0,62,1,9,2,4,32,0,68,42.3703,-84.2485,2523,1532,292,140,550,5,0,6,3.59,0
0,63,2,15,2,4,48,0,56,37.3304,-121.7913,973849,1246,190,502,189,0,0,6,791.6,1
1,149,2,11,2,4,30,0,78,38.2674,-76.4954,5927,623,84,425,381,1,0,10,107.37,0
0,87,2,11,2,4,32,0,322,43.2893,-97.1904,811,502,307,591,307,1,0,8,7.89,0
0,48,2,11,2,4,36,0,68,29.6047,-96.5249,106,35,236,195,229,4,0,2,883.7,1
